,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
132,2019-09-18,57900.0,57900.0,56300.0,56400.0,2592910,0.0,0.0,0.0
133,2019-09-19,56600.0,57800.0,56200.0,57800.0,1432730,0.0,0.0,0.0
134,2019-09-20,57700.0,58800.0,57600.0,58200.0,1396120,0.0,0.0,0.0
135,2019-09-23,58000.0,58300.0,56500.0,56500.0,2313090,0.0,0.0,0.0
136,2019-09-24,56400.0,57000.0,55800.0,56200.0,2537600,0.0,0.0,0.0
137,2019-09-25,56300.0,57400.0,56100.0,57400.0,1442410,0.0,0.0,0.0
138,2019-09-26,57700.0,58000.0,57200.0,57700.0,992640,0.0,0.0,0.0
139,2019-09-27,57600.0,58800.0,57400.0,58500.0,2510520,0.0,0.0,0.0
140,2019-09-30,59300.0,59500.0,57700.0,57700.0,2199170,0.0,0.0,0.0
141,2019-10-01,57700.0,58500.0,57600.0,58500.0,1644130,0.0,0.0,0.0
142,2019-10-02,58500.0,58600.0,57200.0,57200.0,2439020,0.0,0.0,0.0
143,2019-10-03,56600.0,57400.0,56400.0,57200.0,2804850,0.0,0.0,0.0
144,2019-10-04,57500.0,57500.0,56700.0,56800.0,1271210,0.0,0.0,0.0
145,2019-10-07,56800.0,57200.0,55500.0,55500.0,2371810,0.0,0.0,0.0
146,2019-10-08,55500.0,56200.0,55200.0,56100.0,1337220,0.0,0.0,0.0
147,2019-10-09,56300.0,57000.0,55800.0,56400.0,937530,0.0,0.0,0.0
148,2019-10-10,56600.0,57000.0,56400.0,56400.0,808000,0.0,0.0,0.0
149,2019-10-11,56700.0,56900.0,56400.0,56500.0,794420,0.0,0.0,0.0
150,2019-10-14,57000.0,58200.0,56800.0,57700.0,2231030,0.0,0.0,0.0
151,2019-10-15,57800.0,57800.0,57400.0,57400.0,663910,0.0,0.0,0.0
152,2019-10-16,57800.0,58000.0,57400.0,57500.0,829050,0.0,0.0,0.0
153,2019-10-17,57400.0,57500.0,56600.0,56700.0,1621590,0.0,0.0,0.0
154,2019-10-18,56800.0,57600.0,56600.0,57100.0,1447340,0.0,0.0,0.0
155,2019-10-21,57400.0,57400.0,56300.0,56500.0,1260490,0.0,0.0,0.0
156,2019-10-22,56500.0,56600.0,55700.0,56300.0,1534380,0.0,0.0,0.0
